@relation whatever-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute m_out numeric
@attribute income_per_person numeric
@attribute year numeric
@attribute m_in numeric

@data
299699666.666667,?,164.953846,42888,25650,16362,1995,2014
560811111.111111,71.1,241.04918,147040,30352,8854,1995,4652
316008481.481481,69.6,277.235897,108122,45148,6044,1995,3874
224865731.381903,70,60.126502,170158,71796,3686,1995,4410
?,?,431.25,25875,2467,41846,1995,3554
?,64.1,130.93125,125694,18969,2197,1995,4846
142457676902.537,75.5,8.770413,18853670,129412,35870,1995,4950773
4878719133.22771,58.4,45.243578,8710746,356333,1774,1995,250016
16750000000,72,87.186794,9884146,871481,7167,1995,629705
508221508.221508,69.8,163.704348,76703,16411,15097,1995,4514
870758739.40678,50.9,53.16995,3837807,456453,1041,1995,104349
87890009877.24,76.4,5260.456716,3482635,167237,44884,1995,793855
25733043137.2549,72.4,111.476071,5362950,187324,12879,1995,69064
21273048928.427,74.6,98.801986,1991487,100481,18240,1995,174358
519334096.714525,61.1,12.834441,359236,1313,2284,1995,3888
?,49.9,10.116428,6346440,896727,637,1995,18044
155460234815.693,62.7,32.248226,41426810,401489,9730,1995,953701
559329547369.922,74,467.478654,44652994,1777594,16798,1995,118307
?,52.7,?,5452771,438044,2132,1995,0
612939685081.398,77.9,78.86236,39764267,1368440,25645,1995,1012489
12995278048.7805,71.7,288.215596,18248435,925441,4075,1995,39215
?,?,601.323529,26123,16757,?,1995,0
13829744878.6366,60.5,12.687181,24691970,742857,1934,1995,1019443
693970588.235294,70.1,2.857885,445830,193310,9848,1995,13070
1698982437.76019,59.1,56.013256,963428,30169,5043,1995,23015
264051981551.316,78.9,21.511281,8826720,218774,31044,1995,854643
341759012938.689,78.5,178.114473,7017042,335918,44738,1995,1312818
11396706586.8263,72.7,77.98434,14331962,653399,4894,1995,292985
1231523105.36089,64.1,41.328451,5784330,525487,1266,1995,347871
5255221424.80962,53.9,33.758556,29903329,229999,1369,1995,1100291
169278552851.272,70.6,116.005577,59266089,409926,9239,1995,809682
3429000000,69.7,27.987113,280151,28630,22119,1995,30680
785996982.492168,62.6,105.31087,1065746,38126,1448,1995,146646
1309382885.33029,57.6,78.769737,4284286,306372,1198,1995,90722
202547013.927138,69.6,133.179167,95889,30524,4269,1995,921
5329214163.22001,69.3,244.639571,1255001,244836,14046,1995,42344
18030876599.3444,72.9,57.656411,9113972,467092,6055,1995,31851
169485941048.035,70,76.039551,58522320,2674763,11530,1995,1071547
2482228439.71407,63.3,8.911987,4188010,243487,4623,1995,270049
?,?,16.141053,15334,1536,13317,1995,5901
11025679.514763,?,307.566667,9227,2660,2686,1995,197
?,76.23,308.048571,107018,3153,?,1995,48707
5755818947.42125,48.3,102.161889,20412967,467798,910,1995,613212
48214752454.2319,66.5,88.913954,50811673,5613777,5073,1995,5774245
65743666575.8649,71.9,28.112344,2350192,96932,106425,1995,1781444
1237561937825.47,76.7,239.817427,57903790,2602539,28317,1995,4132002
7664060000000,75.9,29.072952,266275528,1836539,39476,1995,25891540
19297663096.5506,73.4,18.425363,3224807,233111,11513,1995,86635
13350468917.4115,66.6,53.561354,22687456,1545331,2213,1995,1433906
233902114.8683,62.3,13.801148,168236,4809,2610,1995,1451
74888742183.6849,72.7,25.155797,22188671,239579,15390,1995,1018672
